Wall time,Step,Value
1521491580.1156976,14688,3.649967908859253
1521491687.2386553,14780,3.4938583374023438
1521491696.071504,14789,3.666414976119995
1521491717.7751784,14810,3.4809627532958984
1521491787.1133783,14874,3.341688632965088
1521491806.8663692,14893,3.272836208343506
1521491955.4810395,15028,3.55961275100708
1521492024.283612,15091,3.0181713104248047
1521492074.3320272,15137,3.3697738647460938
1521492122.0790725,15181,2.7349658012390137
1521492216.726107,15267,3.7352280616760254
1521492280.1457217,15325,3.769073009490967
1521492437.3955622,15474,3.250929832458496
1521492439.575643,15476,2.6843667030334473
1521492473.911388,15508,2.906231641769409
1521492507.200657,15539,3.2714293003082275
1521492727.330615,15741,3.4613823890686035
1521492753.5877452,15765,3.213310718536377
1521492763.4625053,15774,3.3554391860961914
1521492823.4374595,15829,4.166805267333984
1521492988.421668,15980,3.87995982170105
1521493003.6235754,15994,3.3325355052948
1521493115.8009195,16096,3.3853321075439453
1521493138.4683826,16117,3.202329635620117
1521493282.5260186,16250,3.6211726665496826
1521493360.1273043,16322,3.1278610229492188
1521493384.2332153,16344,3.748715400695801
1521493402.4513881,16361,3.2964577674865723
1521493452.5061178,16407,3.8749284744262695
1521493489.4306865,16441,3.72969651222229
1521493559.8201373,16506,3.7957401275634766
1521493647.5169818,16586,3.470273971557617
1521493731.2987726,16662,3.654303550720215
1521493770.6879365,16698,3.5512893199920654
1521493891.9787345,16809,3.981433868408203
1521493893.1031687,16810,3.261664390563965
1521493930.6550345,16844,2.977800130844116
1521493945.960623,16858,3.1664559841156006
1521493990.6951225,16900,3.6970627307891846
1521494172.4631844,17067,3.3856523036956787
1521494206.1237009,17098,3.2196578979492188
1521494243.6024923,17132,2.657210350036621
1521494360.531997,17240,3.3881988525390625
1521494395.6032622,17273,3.0524346828460693
1521494415.0088305,17291,3.048847198486328
1521494417.2002556,17293,2.672304391860962
1521494443.3316824,17317,2.9422168731689453
1521494444.4710276,17318,3.252293586730957
1521494447.6360774,17321,3.180199384689331
1521494468.2799504,17340,2.8125836849212646
1521494507.1487746,17375,3.0262250900268555
1521494540.7560685,17406,3.036816120147705
1521494582.9808269,17445,3.2567224502563477
1521494593.873315,17455,2.7644851207733154
1521494689.806779,17544,3.341610908508301
1521494703.1722462,17558,2.9888341426849365
1521494734.4153602,17587,3.541243553161621
1521494742.2477245,17595,3.3361315727233887
1521494773.1266797,17624,3.646536350250244
1521494880.280518,17723,3.5075807571411133
1521495133.7219646,17954,3.3286728858947754
1521495163.5361469,17982,3.2680649757385254
1521495173.4630764,17991,2.7481062412261963
1521495203.548606,18019,2.893688201904297
1521495241.111302,18054,3.7445831298828125
1521495253.9415035,18066,3.3051488399505615
1521495327.853168,18130,2.984706401824951
1521495489.093112,18265,3.3647854328155518
1521495553.5786724,18319,3.096859931945801
1521495714.0036852,18452,3.289414882659912
1521495715.320131,18453,3.483950138092041
1521495885.767025,18593,3.3362627029418945
1521496030.0171757,18714,3.6751394271850586
1521496038.1702259,18721,3.841960906982422
1521496189.1670084,18846,2.6166653633117676
1521496326.7125561,18959,3.6646616458892822
1521496383.6151745,19006,3.3629884719848633
1521496410.309638,19028,3.6944007873535156
1521496435.9474847,19049,3.0599849224090576
1521496517.4506094,19117,3.041491985321045
1521496580.6627126,19170,3.5690414905548096
1521496650.1909442,19228,3.6520519256591797
1521496703.6531615,19272,3.250890016555786
1521496954.4660375,19486,3.642944812774658
1521496976.4385748,19504,3.363117218017578
1521497003.0989888,19526,4.0087151527404785
1521497010.732994,19532,3.1469664573669434
1521497139.0686665,19641,3.2417538166046143
1521497156.611505,19655,3.3253209590911865
1521497170.211572,19666,3.274068832397461
1521497250.9216695,19732,3.2904319763183594
1521497258.3553662,19738,4.081203460693359
1521497328.710168,19797,3.294783115386963
1521497360.1026444,19824,3.1195616722106934
1521497387.486044,19847,2.976879596710205
1521497471.481104,19917,3.824873447418213
1521497496.9889402,19939,3.2218260765075684
1521497536.8519177,19972,2.8399152755737305
1521497566.6893713,19996,3.132150411605835
1521497614.1209893,20036,3.4887001514434814
1521497635.7291267,20054,3.6028459072113037
1521497642.7237256,20060,3.8324759006500244
1521497646.4289544,20063,3.244112491607666
1521497737.2097814,20139,2.9710636138916016
1521497738.371721,20140,3.3867244720458984
1521497795.536868,20187,3.0553982257843018
1521497832.804068,20218,3.1745800971984863
1521497864.9396288,20245,3.977125406265259
1521497868.440366,20248,3.1746366024017334
1521497874.5679219,20253,3.0448946952819824
1521497959.5613973,20324,3.066175937652588
1521497972.5906541,20335,2.748217821121216
1521498031.5505047,20384,3.293570041656494
1521498099.7226877,20441,3.0993032455444336
1521498153.4869998,20486,3.865755081176758
1521498202.7320623,20527,3.787368059158325
1521498218.1233647,20540,3.922490119934082
1521498219.4449024,20541,3.7234110832214355
1521498246.2936926,20563,2.990203857421875
1521498265.5823457,20579,3.5432724952697754
1521498400.0511446,20690,3.557343006134033
1521498425.1553679,20711,2.9665541648864746
1521498508.1778233,20780,3.3959720134735107
1521498512.0435948,20783,2.660240888595581
1521498513.1600387,20784,2.319946765899658
1521498570.3178484,20832,2.9260902404785156
1521498599.656065,20856,3.0563483238220215
1521498752.243626,20988,3.291919708251953
1521498853.248113,21081,3.6950249671936035
1521498923.3387535,21145,3.2406020164489746
1521498994.0747876,21210,2.5721960067749023
1521499019.3666923,21233,3.33469820022583
1521499110.2484872,21317,3.655182123184204
1521499113.5031097,21320,3.3593735694885254
1521499119.0316772,21325,3.11643648147583
1521499192.3523164,21392,2.7804160118103027
1521499212.26485,21410,3.122983455657959
1521499293.4704237,21485,3.645395040512085
1521499336.0400567,21524,3.0631155967712402
1521499508.5396364,21682,3.6929941177368164
1521499555.769636,21725,3.3741824626922607
1521499626.317242,21790,3.4089102745056152
1521499632.887497,21796,4.148867607116699
1521499661.221316,21822,3.4182770252227783
1521499684.0278862,21843,3.227888584136963
1521499690.6126382,21849,3.2927215099334717
1521499863.7617946,22007,3.686631202697754
1521500123.6117313,22246,3.004976749420166
1521500137.4036732,22259,3.272721767425537
1521500174.3050013,22293,3.3523221015930176
1521500200.7076066,22317,3.6356990337371826
1521500216.5137348,22331,3.136171579360962
1521500246.7157648,22359,3.070683717727661
1521500371.398373,22473,3.1762280464172363
1521500409.0911763,22508,2.704808235168457
1521500450.0241084,22545,3.6991512775421143
1521500548.8743477,22636,2.874478816986084
1521500690.9867828,22766,3.6071624755859375
1521500772.4966981,22841,2.983184337615967
1521500868.3712258,22931,2.9447102546691895
1521500871.7315433,22934,3.257413864135742
1521501033.1380324,23081,3.305455207824707
1521501037.3122363,23085,3.5481815338134766
1521501084.3748968,23128,2.9343583583831787
1521501095.9280825,23139,2.93900990486145
1521501107.0960734,23149,3.329690933227539
1521501143.7225208,23183,3.136575222015381
1521501154.8621194,23193,3.3530054092407227
1521501183.0099578,23219,3.7057013511657715
1521501231.5819812,23264,3.335437774658203
1521501256.723646,23287,3.372692108154297
1521501312.0071602,23338,3.068051815032959
1521501338.0114596,23362,3.3922348022460938
1521501358.2409477,23381,3.0344974994659424
1521501409.896188,23428,3.661956548690796
1521501532.4502516,23541,3.4268321990966797
1521501584.3422709,23590,3.365910768508911
1521501671.7725415,23671,3.590796947479248
1521501682.8748384,23682,3.3984827995300293
1521501704.1890705,23702,3.3048176765441895
1521501782.7307446,23775,3.217916488647461
1521501843.574467,23832,3.2585973739624023
1521501959.3239405,23939,3.0638372898101807
1521502113.2733088,24080,2.951223134994507
1521502155.7268567,24119,2.9936556816101074
1521502186.6970098,24148,3.367671251296997
1521502280.14779,24235,3.102186918258667
1521502332.7216187,24283,2.559530258178711
1521502335.0711513,24285,3.2535786628723145
1521502380.4435797,24323,3.156592607498169
1521502408.2049015,24346,3.0312180519104004
1521502493.2914896,24417,3.3113203048706055
1521502663.3843312,24558,3.53366756439209
1521502740.4732375,24622,3.7191038131713867
1521502857.1115644,24720,3.1762473583221436
1521502866.7354796,24728,3.787033796310425
1521503074.866759,24902,3.8689284324645996
1521503115.4103417,24935,3.0949435234069824
1521503204.467858,25009,2.940117835998535
1521503251.829553,25048,3.1266303062438965
1521503353.3612227,25134,3.0625767707824707
1521503439.8786564,25207,3.539029121398926
1521503469.0543969,25232,3.334864377975464
1521503484.1279418,25245,3.2398946285247803
1521503494.5907834,25254,3.525186061859131
1521503589.6985192,25333,3.0505435466766357
1521503661.6368282,25392,3.3743627071380615
1521503799.8097665,25506,2.978430986404419
1521503817.5002902,25521,3.0779013633728027
1521503912.3007123,25600,3.0643320083618164
1521504014.6432,25687,3.301494836807251
1521504122.5798721,25776,3.3472790718078613
1521504167.701624,25813,3.298097610473633
1521504210.3554313,25848,3.9798226356506348
1521504299.1876569,25922,2.6399083137512207
1521504448.075789,26046,2.7263741493225098
1521504473.323448,26067,2.914860725402832
1521504484.1154656,26076,3.5892996788024902
1521504503.3575354,26092,3.260186195373535
1521504579.5384495,26155,2.5147221088409424
1521504580.7825625,26156,3.1222147941589355
