Wall time,Step,Value
1521428472.1696978,43,6.105403900146484
1521428475.2380443,46,5.977849006652832
1521428526.2192898,95,6.238659858703613
1521428602.6511602,168,5.931628227233887
1521428667.2720804,230,5.185853958129883
1521428672.5176694,235,5.819884300231934
1521428693.7959511,256,6.090941429138184
1521428712.3117638,274,5.66282844543457
1521428748.9311144,309,5.554628372192383
1521428750.953149,311,5.275050163269043
1521428759.0325677,319,5.644051551818848
1521428921.6254108,475,5.113696098327637
1521428985.0267682,537,5.132091522216797
1521429030.0444689,580,5.148855209350586
1521429037.2534237,587,5.209475040435791
1521429087.693998,635,5.663815975189209
1521429100.8140504,648,4.661893844604492
1521429169.5986965,715,5.469096660614014
1521429177.564611,723,4.966274261474609
1521429318.8331249,757,4.795605182647705
1521429323.0363371,763,4.537581920623779
1521429343.1235108,791,5.084847450256348
1521429473.667568,969,4.4772138595581055
1521429511.3648965,1021,4.418282508850098
1521429539.3412807,1059,3.9283032417297363
1521429593.8369627,1135,4.634499549865723
1521429652.7752607,1216,4.2605743408203125
1521429691.61593,1271,4.335953712463379
1521429693.574018,1274,4.391791820526123
1521429703.6496954,1288,4.496442794799805
1521429706.431484,1292,4.329414367675781
1521429740.9249349,1340,4.429153919219971
1521429745.5460632,1347,4.216114044189453
1521429776.9036427,1391,4.471014976501465
1521429861.476277,1507,4.534296035766602
1521429884.3977606,1539,4.642435550689697
1521429960.9955573,1646,4.075581073760986
1521429991.6775465,1689,4.799806594848633
1521429993.6919897,1692,4.277744293212891
1521430070.0763547,1799,3.8812355995178223
1521430092.1483417,1832,5.267350196838379
1521430119.777064,1872,4.50958251953125
1521430140.730626,1902,4.229128837585449
1521430202.3620827,1991,4.040475845336914
1521430243.6309974,2051,4.474626064300537
1521430316.8892598,2154,3.7820188999176025
1521430361.3360574,2217,4.184478759765625
1521430393.9081037,2262,4.549134731292725
1521430450.3679557,2344,3.738877296447754
1521430481.9528816,2391,4.117361068725586
1521430494.3398345,2408,4.771091461181641
1521430495.7663372,2410,4.1335320472717285
1521430499.0326447,2415,4.458151817321777
1521430516.408186,2440,4.7809600830078125
1521430517.1342194,2441,4.064358711242676
1521430525.837619,2453,3.9887819290161133
1521430529.4183345,2458,4.397157669067383
1521430548.8313615,2487,4.705280303955078
1521430655.7648668,2640,4.470278739929199
1521430693.5416892,2695,4.096688270568848
1521430850.6344016,2922,4.091075420379639
1521430901.1332061,2993,4.160002708435059
1521430903.273491,2996,4.530752182006836
1521430987.658338,3116,3.978018283843994
1521431035.2970147,3185,3.573420763015747
1521431046.5676749,3201,4.099484443664551
1521431047.2022855,3202,4.3958048820495605
1521431087.4791481,3260,3.9492084980010986
1521431209.5658464,3435,3.957606315612793
1521431307.3229678,3573,4.097074031829834
1521431308.7203465,3575,4.376490592956543
1521431343.4133503,3625,3.931527614593506
1521431392.4133425,3696,3.7199764251708984
1521431442.4060187,3769,4.160007476806641
1521431447.0854287,3776,4.03861141204834
1521431523.3983724,3883,3.839620351791382
1521431542.975717,3911,3.2485647201538086
1521431599.6564655,3991,4.0708770751953125
1521431643.3418825,4053,4.086578845977783
1521431712.62173,4151,4.130287170410156
1521431737.4404013,4187,4.588214874267578
1521431798.1699882,4272,3.967341184616089
1521431857.848122,4355,3.7618093490600586
1521431923.2854216,4447,3.7284908294677734
1521431934.8349469,4464,3.748227834701538
1521432043.821859,4619,3.866396188735962
1521432046.3589694,4623,3.7913830280303955
1521432051.871178,4631,3.843790292739868
1521432129.6747117,4743,4.0133891105651855
1521432139.0683026,4757,2.5341906547546387
1521432202.898422,4849,3.9177651405334473
1521432256.5104244,4926,4.068695068359375
1521432349.9210606,5061,3.7591490745544434
1521432369.2342677,5089,3.895905017852783
1521432517.1338675,5300,3.1002681255340576
1521432526.3585315,5314,4.185835361480713
1521432569.068544,5375,4.145421028137207
1521432660.264053,5504,3.982513904571533
1521432754.1740494,5634,4.282662391662598
1521432784.9985762,5678,3.814178705215454
1521432845.788376,5763,3.7114944458007812
1521432885.0860302,5819,3.763137102127075
1521432890.0801358,5826,3.032261371612549
1521432915.857189,5862,3.839898109436035
1521432975.1778035,5945,3.9513351917266846
1521433125.6894238,6155,3.519807815551758
1521433139.28496,6174,3.213235855102539
1521433189.7834563,6244,4.088442802429199
1521433252.7509189,6331,3.614515781402588
1521433355.28272,6475,3.685771942138672
1521433393.761672,6529,2.8521814346313477
1521433414.510023,6558,4.10504674911499
1521433482.5520535,6654,3.910222053527832
1521433491.3408399,6666,3.359440803527832
1521433592.1983066,6809,3.4314115047454834
1521433671.6880274,6921,4.126437187194824
1521433777.188506,7069,4.101999282836914
1521433807.3160145,7110,3.7813234329223633
1521433918.126703,7266,2.6430320739746094
1521433969.001406,7337,3.5397915840148926
1521434025.393986,7415,4.315381050109863
1521434027.6756487,7418,3.713505506515503
1521434038.3762283,7433,3.8721776008605957
1521434062.2822251,7466,3.346557140350342
1521434261.4738247,7743,3.605651378631592
1521434268.6275642,7753,4.156979560852051
1521434293.7642477,7788,3.5748744010925293
1521434406.9205048,7946,3.1919827461242676
1521434460.5972342,8021,3.5995466709136963
1521434540.8092313,8135,3.397993564605713
1521434569.851726,8176,4.1774492263793945
1521434664.235743,8318,3.606480360031128
1521434667.4653168,8323,3.68693208694458
1521434673.2880795,8332,3.198582649230957
1521434752.5712783,8453,3.3874785900115967
1521434759.0029557,8463,3.486914873123169
1521434819.0290694,8556,3.987861394882202
